,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Jammu and Kashmir,330533,325016,4426,1091,
1,2021-10-11 18:26,Jammu and Kashmir,330586,325111,4426,1049,53.0
2,2021-10-12 21:19,Jammu and Kashmir,330666,325247,4426,993,80.0
3,2021-10-13 21:56,Jammu and Kashmir,330741,325369,4426,946,75.0
4,2021-10-14 18:35,Jammu and Kashmir,330834,325473,4426,935,93.0
5,2021-10-15 16:09,Jammu and Kashmir,330885,325564,4426,895,51.0
6,2021-10-16 19:18,Jammu and Kashmir,330967,325686,4426,855,82.0
7,2021-10-17 22:08,Jammu and Kashmir,331062,325793,4426,843,95.0
8,2021-10-18 20:51,Jammu and Kashmir,331137,325893,4428,816,75.0
9,2021-10-19 20:07,Jammu and Kashmir,331221,325990,4428,803,84.0
