,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Total,33972161,33286123,450826,222117,
1,2021-10-11 14:26,Total,33972471,33287117,450828,221431,310.0
2,2021-10-11 18:26,Total,33975795,33292732,450888,219075,3324.0
3,2021-10-11 21:51,Total,33984161,33311724,450987,208350,8366.0
4,2021-10-11 22:51,Total,33984196,33311768,450986,208342,35.0
5,2021-10-11 23:26,Total,33984466,33312443,450991,207932,270.0
6,2021-10-12 11:18,Total,33984480,33312458,450991,207931,14.0
7,2021-10-12 12:18,Total,33985075,33312555,450997,208423,595.0
8,2021-10-12 14:19,Total,33986505,33312555,451002,209848,1430.0
9,2021-10-12 15:19,Total,33986598,33312677,451004,209817,93.0
10,2021-10-12 16:19,Total,33986632,33312715,451004,209813,34.0
11,2021-10-12 18:19,Total,33987687,33315494,451032,208053,1055.0
12,2021-10-12 20:19,Total,33988468,33316243,451042,208075,781.0
13,2021-10-12 21:19,Total,33992326,33321748,451112,206359,3858.0
14,2021-10-12 22:20,Total,34000392,33335031,451219,201035,8066.0
15,2021-10-12 23:20,Total,34000423,33335070,451219,201027,31.0
16,2021-10-12 23:49,Total,34000500,33335301,451220,200872,77.0
17,2021-10-13 10:54,Total,34000503,33335304,451220,200872,3.0
18,2021-10-13 11:55,Total,34003514,33338264,451259,200883,3011.0
19,2021-10-13 19:55,Total,34007992,33343793,451341,199749,4478.0
20,2021-10-13 20:55,Total,34008062,33343860,451342,199750,70.0
21,2021-10-13 21:56,Total,34019282,33354012,451465,200695,11220.0
22,2021-10-13 22:49,Total,34019641,33354555,451468,200508,359.0
23,2021-10-14 09:34,Total,34019680,33355097,451469,200004,39.0
24,2021-10-14 10:34,Total,34019695,33355115,451469,200001,15.0
25,2021-10-14 13:34,Total,34021386,33355288,451478,201510,1691.0
26,2021-10-14 18:35,Total,34023005,33357928,451509,200458,1619.0
27,2021-10-14 20:35,Total,34025592,33360463,451548,200470,2587.0
28,2021-10-14 21:35,Total,34036356,33373108,451665,198470,10764.0
29,2021-10-14 22:35,Total,34036641,33374421,451847,197260,285.0
30,2021-10-15 13:58,Total,34036684,33374485,451847,197239,43.0
31,2021-10-15 16:09,Total,34039526,33377271,451889,197253,2842.0
32,2021-10-15 20:28,Total,34042874,33379822,451928,198007,3348.0
33,2021-10-15 21:28,Total,34043480,33381555,451939,196869,606.0
34,2021-10-15 22:28,Total,34043758,33382111,451941,196589,278.0
35,2021-10-16 13:28,Total,34052687,33392353,452010,195206,8929.0
36,2021-10-16 14:28,Total,34054112,33392523,452019,196452,1425.0
37,2021-10-16 19:18,Total,34063831,33407218,452103,191390,9719.0
38,2021-10-16 20:18,Total,34065752,33409514,452137,190977,1921.0
