,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Chhattisgarh,1005530,991755,13570,205,
1,2021-10-11 22:51,Chhattisgarh,1005554,991788,13570,196,24.0
2,2021-10-12 22:20,Chhattisgarh,1005570,991810,13570,190,16.0
3,2021-10-13 21:56,Chhattisgarh,1005598,991821,13570,207,28.0
4,2021-10-15 13:58,Chhattisgarh,1005614,991841,13570,203,16.0
5,2021-10-15 22:28,Chhattisgarh,1005624,991857,13570,197,10.0
6,2021-10-16 22:19,Chhattisgarh,1005638,991887,13570,181,14.0
7,2021-10-17 22:08,Chhattisgarh,1005652,991899,13570,183,14.0
8,2021-10-18 22:22,Chhattisgarh,1005681,991922,13570,189,29.0
9,2021-10-19 23:08,Chhattisgarh,1005701,991943,13570,188,20.0
10,2021-10-20 23:12,Chhattisgarh,1005735,991979,13571,185,34.0
11,2021-10-21 22:35,Chhattisgarh,1005773,991995,13572,206,38.0
12,2021-10-22 22:15,Chhattisgarh,1005799,992013,13572,214,26.0
