,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Chandigarh,65279,64421,820,38,
1,2021-10-11 21:51,Chandigarh,65280,64423,820,37,1.0
2,2021-10-12 22:20,Chandigarh,65285,64426,820,39,5.0
3,2021-10-13 21:56,Chandigarh,65285,64428,820,37,0.0
4,2021-10-14 20:35,Chandigarh,65295,64443,820,32,10.0
5,2021-10-15 16:09,Chandigarh,65297,64447,820,30,2.0
6,2021-10-16 22:19,Chandigarh,65299,64451,820,28,2.0
7,2021-10-17 22:08,Chandigarh,65302,64457,820,25,3.0
8,2021-10-18 20:51,Chandigarh,65306,64462,820,24,4.0
9,2021-10-19 21:07,Chandigarh,65310,64465,820,25,4.0
10,2021-10-20 23:12,Chandigarh,65312,64468,820,24,2.0
