,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Delhi,1439195,1413759,25089,347,
1,2021-10-11 18:26,Delhi,1439218,1413760,25089,369,23.0
2,2021-10-12 16:19,Delhi,1439252,1413798,25089,365,34.0
3,2021-10-13 19:55,Delhi,1439283,1413856,25089,338,31.0
4,2021-10-14 21:35,Delhi,1439311,1413885,25089,337,28.0
5,2021-10-15 21:28,Delhi,1439337,1413921,25089,327,26.0
6,2021-10-16 19:18,Delhi,1439358,1413943,25089,326,21.0
7,2021-10-17 22:08,Delhi,1439390,1413981,25089,320,32.0
8,2021-10-18 17:51,Delhi,1439405,1414018,25089,298,15.0
9,2021-10-19 20:07,Delhi,1439441,1414029,25090,322,36.0
10,2021-10-20 23:12,Delhi,1439466,1414066,25090,310,25.0
11,2021-10-21 12:29,Delhi,1439488,1414087,25090,311,22.0
12,2021-10-22 22:15,Delhi,1439526,1414095,25091,340,38.0
13,2021-10-23 13:21,Delhi,1439566,1414141,25091,334,40.0
14,2021-10-24 21:04,Delhi,1439603,1414192,25091,320,37.0
15,2021-10-25 20:37,Delhi,1439630,1414232,25091,307,27.0
16,2021-10-26 20:29,Delhi,1439671,1414257,25091,323,41.0
17,2021-10-27 18:29,Delhi,1439709,1414270,25091,348,38.0
