,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,West Bengal,1576337,1549783,18905,7649,
1,2021-10-11 18:26,West Bengal,1576943,1550380,18914,7649,606.0
2,2021-10-12 20:19,West Bengal,1577711,1551115,18924,7672,768.0
3,2021-10-13 19:55,West Bengal,1578482,1551890,18935,7657,771.0
4,2021-10-14 18:35,West Bengal,1579012,1552491,18945,7576,530.0
5,2021-10-15 21:28,West Bengal,1579463,1552997,18953,7513,451.0
6,2021-10-16 22:19,West Bengal,1579906,1553498,18963,7445,443.0
7,2021-10-17 22:08,West Bengal,1580530,1554132,18977,7421,624.0
8,2021-10-18 17:51,West Bengal,1581220,1554815,18989,7416,690.0
9,2021-10-19 20:07,West Bengal,1581946,1555520,18998,7428,726.0
10,2021-10-20 11:35,West Bengal,1582813,1556315,19007,7491,867.0
11,2021-10-21 20:45,West Bengal,1583646,1557090,19021,7535,833.0
12,2021-10-22 21:15,West Bengal,1584492,1557882,19033,7577,846.0
13,2021-10-23 13:21,West Bengal,1585466,1558690,19045,7731,974.0
14,2021-10-24 20:04,West Bengal,1586455,1559518,19055,7882,989.0
15,2021-10-25 14:37,West Bengal,1587260,1560325,19066,7869,805.0
16,2021-10-26 23:28,West Bengal,1588066,1561136,19081,7849,806.0
17,2021-10-27 18:29,West Bengal,1589042,1561973,19096,7973,976.0
18,2021-10-28 12:01,West Bengal,1590032,1562818,19105,8109,990.0
19,2021-10-29 17:27,West Bengal,1591014,1563678,19113,8223,982.0
20,2021-10-30 12:30,West Bengal,1591994,1564558,19126,8310,980.0
21,2021-10-31 16:34,West Bengal,1592908,1565471,19141,8296,914.0
