,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-10-11 14:19,Himachal Pradesh,220479,215429,3688,1345,
1,2021-10-11 18:26,Himachal Pradesh,220618,215674,3690,1237,139.0
2,2021-10-12 21:19,Himachal Pradesh,220792,215769,3694,1312,174.0
3,2021-10-13 19:55,Himachal Pradesh,220931,215837,3695,1382,139.0
4,2021-10-14 20:35,Himachal Pradesh,221113,216010,3699,1387,182.0
5,2021-10-15 21:28,Himachal Pradesh,221203,216124,3701,1361,90.0
6,2021-10-16 20:18,Himachal Pradesh,221209,216124,3701,1367,6.0
7,2021-10-16 21:18,Himachal Pradesh,221306,216288,3703,1298,97.0
8,2021-10-17 22:08,Himachal Pradesh,221437,216413,3704,1303,131.0
9,2021-10-18 22:22,Himachal Pradesh,221604,216608,3709,1270,167.0
10,2021-10-19 21:07,Himachal Pradesh,221826,216750,3711,1348,222.0
11,2021-10-20 23:12,Himachal Pradesh,221936,216814,3711,1394,110.0
12,2021-10-21 20:45,Himachal Pradesh,222138,216954,3715,1452,202.0
13,2021-10-22 22:15,Himachal Pradesh,222312,217095,3717,1483,174.0
14,2021-10-23 20:22,Himachal Pradesh,222569,217256,3718,1578,257.0
15,2021-10-25 08:36,Himachal Pradesh,222572,217360,3718,1477,3.0
16,2021-10-25 09:36,Himachal Pradesh,222638,217405,3720,1496,66.0
17,2021-10-25 20:37,Himachal Pradesh,222890,217495,3721,1657,252.0
